account,date,daily_pnl,trade_count,win_count,avg_size_tokens,avg_size_usd,long_count,short_count,best_trade_pnl,worst_trade_pnl,win_rate,long_short_ratio,is_winner,sentiment,classification,freq_bucket,winner_segment,total_pnl,total_trades,overall_wr,pnl_std,mean_trade_size,avg_ls_ratio,sentiment_binary
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,-327505.900056,462,12,12.296536796536797,14810.891818181817,139,323,883.756968,-117990.1041,0.025974025974025976,0.3008658008658009,0,Greed,Greed,Frequent,Mixed,1600229.819979,3818,0.21575816912527282,1594696.6427804816,15578.066878995556,0.4481403876375065,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19,1927735.720035,3356,1361,16.700055780691297,16345.241939809297,1572,1784,135329.0901,-19841.24014,0.40554231227651966,0.4684147794994041,1,Fear,Fear,Frequent,Mixed,1600229.819979,3818,0.21575816912527282,1594696.6427804816,15578.066878995556,0.4481403876375065,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,20607.446093000002,320,170,129.5396139866875,2492.74990625,145,175,2325.68845,0.0,0.53125,0.453125,1,Greed,Greed,Frequent,Mixed,37706.173148,3853,0.4831455208038494,2481.0390250481414,2093.0507951855716,0.43420711134181156,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-19,17098.727055,3533,1537,851.7958757769601,1693.3516841211435,1528,2005,4037.871978,-6820.76955,0.43504104160769885,0.4324936314746674,1,Fear,Fear,Frequent,Mixed,37706.173148,3853,0.4831455208038494,2481.0390250481414,2093.0507951855716,0.43420711134181156,0
0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,-1.0,5,0,40.0,6070.2,2,3,0.0,-0.6204,0.0,0.4,0,Neutral,Neutral,Infrequent,Mixed,31763.088431,1146,0.4101525821596244,16810.324711221998,16282.920322769955,0.44589877835951136,0
0x271b280974205ca63b716753467d5a371de622ab,2024-10-27,1793.1602149999999,5,4,83.09891999999999,31941.660000000003,3,2,1584.342755,0.0,0.8,0.6,1,Greed,Greed,Infrequent,Mixed,31763.088431,1146,0.4101525821596244,16810.324711221998,16282.920322769955,0.44589877835951136,1
0x271b280974205ca63b716753467d5a371de622ab,2025-02-19,29970.928216,1136,489,25.691708679577467,10836.90096830986,506,630,1265.820644,-122.02974,0.43045774647887325,0.4454225352112676,1,Fear,Fear,Infrequent,Mixed,31763.088431,1146,0.4101525821596244,16810.324711221998,16282.920322769955,0.44589877835951136,0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-27,121880.386016,6472,2872,2773.3332751515914,483.5901143386898,3086,3386,4396.862703,-240.452221,0.4437577255871446,0.476823238566131,1,Greed,Greed,Frequent,Mixed,132315.481685,13266,0.4382462457785591,78803.7205356674,508.4139635573343,0.5044474596713403,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,10435.095669,6794,2940,1420.918087095279,533.2378127759788,3606,3188,1481.37908,-7784.162915,0.4327347659699735,0.5307624374448042,1,Fear,Fear,Frequent,Mixed,132315.481685,13266,0.4382462457785591,78803.7205356674,508.4139635573343,0.5044474596713403,0
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-27,52215.729448,763,362,33318.957672346005,2941.8256880733943,305,458,6608.942866,-195.741504,0.4744429882044561,0.399737876802097,1,Greed,Greed,Frequent,Consistent Winner,168627.984054,3234,0.5041174876271167,45393.7982678346,3073.4131596983725,0.36394557823129253,1
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-19,116412.254606,2471,1319,25288.359009307973,3205.000631323351,872,1599,4465.034496,-996.7456,0.5337919870497774,0.3528935653581546,1,Fear,Fear,Frequent,Consistent Winner,168627.984054,3234,0.5041174876271167,45393.7982678346,3073.4131596983725,0.36394557823129253,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-03-28,0.0,3,0,0.08376666666666666,159.0,3,0,0.0,0.0,0.0,1.0,0,Greed,Greed,Infrequent,Consistent Loser,-27704.567439,617,0.19414872774471628,30964.413944042426,5212.250799060605,0.2820097244732577,1
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-11-14,0.0,2,0,0.5,23066.935,2,0,0.0,0.0,0.0,1.0,0,Greed,Greed,Infrequent,Consistent Loser,-27704.567439,617,0.19414872774471628,30964.413944042426,5212.250799060605,0.2820097244732577,1
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-09,-5564.01614,27,9,129.52782592592592,3048.5944444444444,4,23,127.66118,-2299.807104,0.3333333333333333,0.14814814814814814,0,Greed,Extreme Greed,Infrequent,Consistent Loser,-27704.567439,617,0.19414872774471628,30964.413944042426,5212.250799060605,0.2820097244732577,1
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-03,215.754798,80,8,6939.408296498999,767.24775,35,45,51.687038,-0.12379,0.1,0.4375,1,Neutral,Neutral,Infrequent,Consistent Loser,-27704.567439,617,0.19414872774471628,30964.413944042426,5212.250799060605,0.2820097244732577,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-10-27,36993.371011,156,73,29896.621032429488,2583.170064102564,64,92,6672.970248,-0.298703,0.46794871794871795,0.41025641025641024,1,Greed,Greed,Infrequent,Consistent Loser,-27704.567439,617,0.19414872774471628,30964.413944042426,5212.250799060605,0.2820097244732577,1
